epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8252,1.27718,3.18575,1.71574,0.66026,0.61863,0.64661,0.46241,0.95904,2.94946,1.40448,0.000172505,0.000172505,0.000172505
2,57.1084,0.97447,1.46716,1.41576,0.56608,0.27466,0.28664,0.20391,1.19955,2.78298,1.70517,0.000344395,0.000344395,0.000344395
3,78.5293,0.98285,1.33406,1.42129,0.33669,0.37855,0.36059,0.17192,2.04816,4.03137,2.78716,0.000512813,0.000512813,0.000512813
4,100.589,1.01561,1.32267,1.44504,0.59817,0.2378,0.29853,0.17208,1.91274,2.77534,2.17862,0.000510378,0.000510378,0.000510378
5,122.145,0.95949,1.22618,1.40887,0.55486,0.5656,0.5873,0.36334,1.2993,1.65478,1.7387,0.00050517,0.00050517,0.00050517
6,143.708,0.94517,1.15761,1.40215,0.67176,0.5701,0.60344,0.4038,0.93483,1.61652,1.46224,0.000499963,0.000499963,0.000499963
7,164.998,0.89504,1.08721,1.35476,0.74806,0.61246,0.74113,0.5796,0.78791,1.33351,1.31956,0.000494756,0.000494756,0.000494756
8,186.598,0.8945,1.04427,1.35632,0.67806,0.73435,0.78007,0.58813,0.76418,1.13588,1.30307,0.000489548,0.000489548,0.000489548
9,208.183,0.88639,1.02974,1.34386,0.71948,0.68668,0.75756,0.57672,0.86665,1.50701,1.39539,0.000484341,0.000484341,0.000484341
10,229.651,0.87157,1.01712,1.34857,0.77399,0.70445,0.79222,0.5847,0.85983,1.0727,1.3365,0.000479133,0.000479133,0.000479133
11,251.11,0.83755,0.95768,1.31662,0.83781,0.77673,0.86839,0.70337,0.694,0.91077,1.21893,0.000473926,0.000473926,0.000473926
12,272.657,0.83562,0.93196,1.31265,0.83443,0.67688,0.83405,0.67279,0.65627,1.02036,1.23295,0.000468719,0.000468719,0.000468719
13,294.047,0.82316,0.92802,1.30683,0.86263,0.78636,0.8872,0.68222,0.89412,0.91722,1.31555,0.000463511,0.000463511,0.000463511
14,315.118,0.82787,0.91388,1.31167,0.7865,0.80392,0.87901,0.7217,0.69311,0.95409,1.20196,0.000458304,0.000458304,0.000458304
15,336.706,0.79408,0.87357,1.28817,0.8826,0.80391,0.89962,0.77636,0.55582,0.74949,1.09907,0.000453096,0.000453096,0.000453096
16,358.267,0.81742,0.88091,1.30208,0.81057,0.75476,0.8448,0.68755,0.66852,1.01739,1.20321,0.000447889,0.000447889,0.000447889
17,379.706,0.80943,0.84962,1.28555,0.81387,0.80647,0.87822,0.75304,0.59039,0.85955,1.11304,0.000442682,0.000442682,0.000442682
18,401.117,0.79361,0.83446,1.2851,0.86122,0.84163,0.90583,0.77599,0.58081,0.722,1.0969,0.000437474,0.000437474,0.000437474
19,422.665,0.77646,0.81464,1.27226,0.85039,0.84281,0.8976,0.77706,0.5451,0.73382,1.08381,0.000432267,0.000432267,0.000432267
20,444.303,0.78545,0.81977,1.28004,0.83305,0.80818,0.87503,0.75796,0.53236,0.7766,1.08462,0.000427059,0.000427059,0.000427059
21,465.596,0.76571,0.80199,1.26517,0.8634,0.77192,0.88756,0.74957,0.60252,0.85196,1.11035,0.000421852,0.000421852,0.000421852
22,486.919,0.74667,0.77369,1.25887,0.88952,0.83574,0.89885,0.79162,0.51135,0.73469,1.05612,0.000416645,0.000416645,0.000416645
23,508.377,0.74665,0.77001,1.25551,0.88992,0.84244,0.9175,0.79329,0.52971,0.66136,1.04788,0.000411437,0.000411437,0.000411437
24,529.904,0.75384,0.76515,1.25279,0.88485,0.80477,0.90175,0.79276,0.50538,0.73451,1.05985,0.00040623,0.00040623,0.00040623
25,551.252,0.74223,0.74762,1.2497,0.88605,0.83627,0.90468,0.78362,0.57998,0.69227,1.09545,0.000401022,0.000401022,0.000401022
26,572.877,0.73982,0.74435,1.24888,0.88991,0.82634,0.89044,0.77176,0.53256,0.74007,1.06994,0.000395815,0.000395815,0.000395815
27,594.187,0.73235,0.73197,1.24463,0.8934,0.83221,0.91615,0.79351,0.55916,0.64232,1.06399,0.000390608,0.000390608,0.000390608
28,615.676,0.72784,0.72059,1.23954,0.89594,0.82102,0.89483,0.77511,0.55911,0.76198,1.07395,0.0003854,0.0003854,0.0003854
29,637.052,0.73725,0.73018,1.24677,0.87251,0.8243,0.90519,0.8046,0.51578,0.67339,1.06119,0.000380193,0.000380193,0.000380193
30,658.733,0.73688,0.72934,1.24369,0.90333,0.83648,0.91064,0.80576,0.48124,0.6664,1.04596,0.000374985,0.000374985,0.000374985
31,680.364,0.71553,0.6991,1.22918,0.91198,0.87042,0.92248,0.7976,0.52042,0.58261,1.07981,0.000369778,0.000369778,0.000369778
32,701.735,0.71688,0.70005,1.2317,0.90158,0.84832,0.90519,0.80382,0.45406,0.62316,1.02569,0.000364571,0.000364571,0.000364571
33,723.311,0.71667,0.68744,1.23274,0.88267,0.86182,0.91872,0.83101,0.45632,0.60047,1.01265,0.000359363,0.000359363,0.000359363
34,744.952,0.70771,0.69729,1.22499,0.86956,0.87196,0.91844,0.83844,0.45302,0.62129,1.01897,0.000354156,0.000354156,0.000354156
35,766.666,0.7174,0.70076,1.22871,0.89579,0.83422,0.89938,0.81436,0.4559,0.62627,1.00284,0.000348948,0.000348948,0.000348948
36,787.84,0.69922,0.6682,1.21882,0.8719,0.87278,0.91237,0.79274,0.59589,0.62284,1.08445,0.000343741,0.000343741,0.000343741
37,809.132,0.70281,0.67318,1.22413,0.89758,0.85273,0.90954,0.81435,0.47759,0.66264,1.03586,0.000338534,0.000338534,0.000338534
38,830.348,0.68657,0.65174,1.2075,0.89234,0.86634,0.9197,0.83444,0.45895,0.61716,1.03148,0.000333326,0.000333326,0.000333326
39,851.513,0.69062,0.65938,1.21098,0.91328,0.86495,0.93179,0.85457,0.44084,0.59045,1.00589,0.000328119,0.000328119,0.000328119
40,872.994,0.6805,0.6332,1.20322,0.92988,0.83298,0.92019,0.84009,0.44722,0.59761,1.00819,0.000322911,0.000322911,0.000322911
41,894.482,0.67211,0.62567,1.20024,0.90001,0.85267,0.92005,0.84279,0.4464,0.63909,1.0061,0.000317704,0.000317704,0.000317704
42,915.833,0.68175,0.64364,1.20245,0.92801,0.87404,0.93613,0.85642,0.42816,0.53617,0.99132,0.000312497,0.000312497,0.000312497
43,937.31,0.67338,0.64115,1.20176,0.88534,0.86325,0.90968,0.8111,0.48187,0.63906,1.0228,0.000307289,0.000307289,0.000307289
44,958.806,0.6779,0.60796,1.20083,0.91281,0.87481,0.92566,0.83769,0.46023,0.59936,1.01824,0.000302082,0.000302082,0.000302082
45,979.999,0.67873,0.62482,1.20435,0.92683,0.87897,0.93472,0.84779,0.46016,0.52733,1.01221,0.000296874,0.000296874,0.000296874
46,1001.22,0.68399,0.64206,1.21184,0.92554,0.85385,0.92349,0.84825,0.43072,0.55461,0.98602,0.000291667,0.000291667,0.000291667
47,1022.72,0.66852,0.61841,1.19829,0.91144,0.85042,0.92621,0.84987,0.42692,0.63504,0.99801,0.00028646,0.00028646,0.00028646
48,1043.9,0.66882,0.61825,1.19556,0.93037,0.87037,0.93721,0.861,0.41733,0.50838,0.99245,0.000281252,0.000281252,0.000281252
49,1065.49,0.66459,0.59518,1.19177,0.90968,0.8711,0.93207,0.83838,0.50207,0.57023,1.02159,0.000276045,0.000276045,0.000276045
50,1086.64,0.6635,0.60325,1.19775,0.93836,0.84988,0.92632,0.84625,0.42602,0.55502,0.98941,0.000270837,0.000270837,0.000270837
51,1107.98,0.64904,0.60099,1.18533,0.90978,0.8914,0.94129,0.87438,0.40432,0.48456,0.96912,0.00026563,0.00026563,0.00026563
